名称（研发填写，产品重点校对，中文）,英文名称,平台界面是否显示,参数设置项,描述(备注/解释语，中文),英文描述(备注/解释语), 分组KEY,中文分组名称,英文分组名称,硬件版本,固件版本,型号,表格备注（非字段）,特殊解析 (变长协议等),下发是否响应,IPSO响应通道,IPSO通道,IPSO类型,IPSO起始字节,IPSO结束字节,IPSO起始bit,IPSO结束bit,"IPSO数据
类型",IPSO解析辅助字段类型,IPSO解析映射,IPSO固定值,异常值,"元素类型
（数组内元素类型）",枚举（产品校对文案）,英文枚举,默认值,自定义默认值,"最小值
(number)","最大值
(number)",设备限制范围,"精度
(有效小数位)",系数,单位名称（英文缩写）,"大小端
（string默认大端，其余默认小端）",输入长度限制（string）,字符编码（string）,类型,"读写
类型",事件类型,服务类型,IPSO标识,物模型版本,物模型属性标识,物模型数据类型,"长度下限
(string)","长度上限
(string)","数组长度
(最大)",关联项(物模型属性标识),输入参数（服务）,输出参数（事件&服务）,"必填
(入参)",云生态备注,忽略该行,平台自定义
序号校验,Sequence Number Check,否,,,,,,,,,,,是,,,0xFF,,0,1,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_check_sequence_number,struct,,,,,,,,,1,TRUE
序号,Sequence Number,否,,,,,,,,,,,是,,,0xFF,,0,1,,,uint8,,,,,,,,0,,0,255,,,,,,,,参数,只写,,,,,request_check_sequence_number.sequence_number,int,,,,,,,,,1,TRUE
序号校验应答,Sequence Number Check Response,否,,,,,,,,,,,是,,,0xFF,,0,1,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,check_sequence_number_reply,struct,,,,,,,,,1,TRUE
序号,Sequence Number,否,,,,,,,,,,,是,,,0xFF,,0,1,,,uint8,,,,,,,,0,,0,255,,,,,,,,参数,只读,,,,,check_sequence_number_reply.sequence_number,int,,,,,,,,,1,TRUE
顺序校验,Order Check,否,,,,,,,,,,,是,,,0xFE,,0,1,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_check_order,struct,,,,,,,,,1,TRUE
顺序,Order,否,,,,,,,,,,"0为强制更新，回绕跳过
变化小于128校验成功，错误不应答",是,,,0xFE,,0,1,,,uint8,,,,,,,,0,,0,255,,,,,,,,参数,只写,,,,,request_check_order.order,int,,,,,,,,,1,TRUE
顺序校验应答,Order Check Response,否,,,,,,,,,,,是,,,0xFE,,0,1,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,check_order_reply,struct,,,,,,,,,1,TRUE
顺序,Order,否,,,,,,,,,,,是,,,0xFE,,0,1,,,uint8,,,,,,,,0,,0,255,,,,,,,,参数,只读,,,,,check_order_reply.order,int,,,,,,,,,1,TRUE
密码校验,Password Check,否,,,,,,,,,,,是,,,0xFB,,0,6,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_check_password,struct,,,,,,,,,1,FALSE
密码,Password,否,,,,,,,,,,,是,,,0xFB,,0,6,,,string,,,,,,,,123456,,,,,,,,,6,ascii,参数,只写,,,,,request_check_password.password,string,6,6,,,,,,,1,FALSE
密码校验应答,Password Check Response,否,,,,,,,,,,,是,,,0xFB,,0,1,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,check_password_reply,struct,,,,,,,,,1,FALSE
结果,Result,否,,,,,,,,,,,是,,,0xFB,,0,1,,,uint8,,,,,,"0：校验成功
1：校验错误","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,check_password_reply.result,enum,,,,,,,,,1,FALSE
密码修改,Password Change,否,,,,,,,,,,,是,,,0xFA,,0,6,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_change_password,struct,,,,,,,,,1,FALSE
密码,Password,否,,,,,,,,,,,是,,,0xFA,,0,6,,,string,,,,,,,,123456,,,,,,,,,6,ascii,参数,只写,,,,,request_change_password.new_password,string,6,6,,,,,,,1,FALSE
密码修改应答,Password Change Response,否,,,,,,,,,,,是,,,0xFA,,0,1,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,change_password_reply,struct,,,,,,,,,1,FALSE
结果,Result,否,,,,,,,,,,,是,,,0xFA,,0,1,,,uint8,,,,,,"0：修改成功
1：修改错误","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,change_password_reply.result,enum,,,,,,,,,1,FALSE
固件升级请求,Firmware Upgrade Request,否,,,,,,,,,,,是,,,0xF7,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_firmware_upgrade,struct,,,,,,,,,1,FALSE
固件升级子命令,Firmware Upgrade Subcommand,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,type,upgrade_request_cmd,,,,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.command,enum,,,,,,,,,1,FALSE
固件升级请求,Firmware Upgrade Request,否,,,,,,,,,,"全量时截取.bin[12,80)",是,,,0xF7,,0,0,,,struct,impl,upgrade_request_cmd：0x00,,,,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.start_upgrade,struct,,,,,,,,,1,FALSE
固件升级请求类型,Firmware Upgrade Request Type,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,,,,,,"0：全量
1：差分","0：all
1：diff",0,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.start_upgrade.type,enum,,,,,,,,,1,FALSE
固件升级请求长度,Firmware Upgrade Request Length,否,,,,,,,,,,,是,,,0xF7,,1,2,,,uint8,length,,,,,,,68,,0,255,,,,,,,,参数,只写,,,,,request_firmware_upgrade.start_upgrade.length,int,,,,,,,,,1,FALSE
固件升级请求校验数据,Firmware Upgrade Request Check Data,否,,,,,,,,,,,是,,,0xF7,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.start_upgrade.check_data,array,,,65535,,,,,,1,FALSE
固件传输,Firmware Transmission,否,,,,,,,,,,固件内容，规定所有命令都需要应答机制,是,,,0xF7,,0,0,,,struct,impl,upgrade_request_cmd：0x01,,,,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.transmission,struct,,,,,,,,,1,FALSE
传输长度,Transmission Length,否,,,,,,,,,,,是,,,0xF7,,0,2,,,uint16,length,,,,,,,1024,,1,1024,,,,,,,,参数,只写,,,,,request_firmware_upgrade.transmission.length,int,,,,,,,,,1,FALSE
固件内容,Firmware Content,否,,,,,,,,,,,是,,,0xF7,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.transmission.data,array,,,65535,,,,,,1,FALSE
固件升级结束,Firmware Upgrade End,否,,,,,,,,,,,是,,,0xF7,,0,0,,,struct,impl,upgrade_request_cmd：0x02,,,,,,,,,,,,,,,,,参数,只写,,,,,request_firmware_upgrade.end_upgrade,struct,,,,,,,,,1,FALSE
固件升级应答,Firmware Upgrade Response,否,,,,,,,,,,,是,,,0xF7,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,firmware_upgrade_reply,struct,,,,,,,,,1,FALSE
固件升级应答子命令,Firmware Upgrade Response Subcommand,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,type,upgrade_response_cmd,,,,,,,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.command,enum,,,,,,,,,1,FALSE
固件升级请求应答,Firmware Upgrade Request Response,否,,,,,,,,,,,是,,,0xF7,,0,3,,,struct,impl,upgrade_response_cmd：0x00,,,,,,,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.start_upgrade,struct,,,,,,,,,1,FALSE
固件升级请求应答,Firmware Upgrade Request Response,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,,,,,,"0：成功
1：失败
2：重发","0：success
1：failed
2：resend",0,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.start_upgrade.result,enum,,,,,,,,,1,FALSE
固件升级传输最大长度,Firmware Upgrade Maximum Transmission Length,否,,,,,,,,,,,是,,,0xF7,,1,3,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.start_upgrade.length,int,,,,,,,,,1,FALSE
固件传输应答,Firmware Transmission Response,否,,,,,,,,,,,是,,,0xF7,,0,1,,,struct,impl,upgrade_response_cmd：0x01,,,,,,,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.transmission,struct,,,,,,,,,1,FALSE
固件传输应答,Firmware Transmission Response,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.transmission.result,enum,,,,,,,,,1,FALSE
固件升级结束应答,Firmware Upgrade End Response,否,,,,,,,,,,,是,,,0xF7,,0,1,,,struct,impl,upgrade_response_cmd：0x02,,,,,,,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.end_upgrade,struct,,,,,,,,,1,FALSE
固件升级结束应答,Firmware Upgrade End Response,否,,,,,,,,,,,是,,,0xF7,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,firmware_upgrade_reply.end_upgrade.result,enum,,,,,,,,,1,FALSE
预配置请求,Preconfiguration Request,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_preconfiguration,struct,,,,,,,,,1,FALSE
预配置请求子命令,Preconfiguration Request Subcommand,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,type,preconfig_request_cmd,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.command,enum,,,,,,,,,1,FALSE
预配置写请求,Preconfiguration Write Request,否,,,,,,,,,,,是,,,0xF6,,0,8,,,array,impl,preconfig_request_cmd：0x00,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.start_writing,array,,,8,,,,,,1,FALSE
预配置写,Preconfiguration Write,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_request_cmd：0x01,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.configuration_writing,struct,,,,,,,,,1,FALSE
写长度,Write Length,否,,,,,,,,,,,是,,,0xF6,,0,2,,,uint16,length,,,,,,,1,,1,65535,,,,,,,,参数,只写,,,,,request_preconfiguration.configuration_writing.length,int,,,,,,,,,1,FALSE
写数据,Write Data,否,,,,,,,,,,,是,,,0xF6,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.configuration_writing.data,array,,,65535,,,,,,1,FALSE
预配置写结束,Preconfiguration Write End,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_request_cmd：0x02,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.end_writing,struct,,,,,,,,,1,FALSE
预配置读请求,Preconfiguration Read Request,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_request_cmd：0x10,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.start_reading,struct,,,,,,,,,1,FALSE
预配置读,Preconfiguration Read,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_request_cmd：0x11,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.configuration_reading,struct,,,,,,,,,1,FALSE
预配置读结束,Preconfiguration Read End,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_request_cmd：0x12,,,,,,,,,,,,,,,,,参数,只写,,,,,request_preconfiguration.end_reading,struct,,,,,,,,,1,FALSE
预配置应答,Preconfiguration Response,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,preconfiguration_reply,struct,,,,,,,,,1,FALSE
预配置应答子命令,Preconfiguration Response Subcommand,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,type,preconfig_response_cmd,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.command,enum,,,,,,,,,1,FALSE
预配置写请求应答,Preconfiguration Write Request Response,否,,,,,,,,,,,是,,,0xF6,,0,3,,,struct,impl,preconfig_response_cmd：0x00,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_writing,struct,,,,,,,,,1,FALSE
预配置写请求应答,Preconfiguration Write Request Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_writing.result,enum,,,,,,,,,1,FALSE
预配置写传输最大长度,Preconfiguration Write Maximum Transmission Length,否,,,,,,,,,,,是,,,0xF6,,1,3,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_writing.length,int,,,,,,,,,1,FALSE
预配置写应答,Preconfiguration Write Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,struct,impl,preconfig_response_cmd：0x01,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.configuration_writing,struct,,,,,,,,,1,FALSE
预配置写应答,Preconfiguration Write Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.configuration_writing.result,enum,,,,,,,,,1,FALSE
预配置写结束应答,Preconfiguration Write End Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,struct,impl,preconfig_response_cmd：0x02,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.end_writing,struct,,,,,,,,,1,FALSE
预配置写结束应答,Preconfiguration Write End Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.end_writing.result,enum,,,,,,,,,1,FALSE
预配置读请求应答,Preconfiguration Read Request Response,否,,,,,,,,,,,是,,,0xF6,,0,10,,,struct,impl,preconfig_response_cmd：0x10,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_reading,struct,,,,,,,,,1,FALSE
预配置读头部,Preconfiguration Read Header,否,,,,,,,,,,,是,,,0xF6,,0,8,,,array,,,,,int,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_reading.data,array,,,8,,,,,,1,FALSE
预配置读传输最大长度,Preconfiguration Read Maximum Transmission Length,否,,,,,,,,,,,是,,,0xF6,,8,10,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,preconfiguration_reply.start_reading.length,int,,,,,,,,,1,FALSE
预配置读应答,Preconfiguration Read Response,否,,,,,,,,,,,是,,,0xF6,,0,0,,,struct,impl,preconfig_response_cmd：0x11,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.configuration_read,struct,,,,,,,,,1,FALSE
读长度,Read Length,否,,,,,,,,,,,是,,,0xF6,,0,2,,,uint16,length,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,preconfiguration_reply.configuration_read.length,int,,,,,,,,,1,FALSE
读数据,Read Data,否,,,,,,,,,,,是,,,0xF6,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.configuration_read.data,array,,,65535,,,,,,1,FALSE
预配置读结束应答,Preconfiguration Read End Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,struct,impl,preconfig_response_cmd：0x12,,,,,,,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.end_reading,struct,,,,,,,,,1,FALSE
预配置读结束应答,Preconfiguration Read End Response,否,,,,,,,,,,,是,,,0xF6,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,preconfiguration_reply.end_reading.result,enum,,,,,,,,,1,FALSE
历史记录导出,Historical Record Export,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_historical_data_export,struct,,,,,,,,,1,FALSE
历史记录导出子命令,Historical Record Export Subcommand,否,,,,,,,,,,,是,,,0xF5,,0,1,,,uint8,type,history_request_cmd,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.command,enum,,,,,,,,,1,FALSE
历史记录导出请求,Historical Record Export Request,否,,,,,,,,,,,是,,,0xF5,,0,12,,,struct,impl,history_request_cmd：0x10,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting,struct,,,,,,,,,1,FALSE
历史记录导出开始时间,Historical Record Export Start Time,否,,,,,,,,,,,是,,,0xF5,,0,4,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting.start_timestamp,date,,,,,,,,,1,FALSE
历史记录导出结束时间,Historical Record Export End Time,否,,,,,,,,,,,是,,,0xF5,,4,8,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting.end_timestamp,date,,,,,,,,,1,FALSE
历史记录导出当前时间,Historical Record Export Current Time,否,,,,,,,,,,,是,,,0xF5,,8,12,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting.current_timestamp,date,,,,,,,,,1,FALSE
历史记录导出数据,Historical Record Export Data,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,impl,history_request_cmd：0x11,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.exported_data,struct,,,,,,,,,1,FALSE
历史记录导出结束,Historical Record Export End,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,impl,history_request_cmd：0x12,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.end_exporting,struct,,,,,,,,,1,FALSE
历史记录导出全部,Historical Record Export All Data,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,impl,history_request_cmd：0x13,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.exported_all_data,struct,,,,,,,,,1,FALSE
历史记录导出应答,Historical Record Export Response,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,historical_data_export_reply,struct,,,,,,,,,1,FALSE
历史记录导出请求,Historical Record Export Request,否,,,,,,,,,,,是,,,0xF5,,0,13,,,struct,impl,history_request_cmd：0x14,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting_with_type,struct,,,,,,,,,1,FALSE
历史记录导出类型,Historical Record Export Type,否,,,,,,,,,,,是,,,0xF5,,0,1,,,uint8,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting_with_type.type,int,,,,,,,,,1,FALSE
历史记录导出开始时间,Historical Record Export Start Time,否,,,,,,,,,,,是,,,0xF5,,1,5,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting_with_type.start_timestamp,date,,,,,,,,,1,FALSE
历史记录导出结束时间,Historical Record Export End Time,否,,,,,,,,,,,是,,,0xF5,,5,9,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting_with_type.end_timestamp,date,,,,,,,,,1,FALSE
历史记录导出当前时间,Historical Record Export Current Time,否,,,,,,,,,,,是,,,0xF5,,9,13,,,uint32,,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_historical_data_export.start_exporting_with_type.current_timestamp,date,,,,,,,,,1,FALSE
历史记录导出应答子命令,Historical Record Export Response Subcommand,否,,,,,,,,,,,是,,,0xF5,,0,1,,,uint8,type,history_response_cmd,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.command,enum,,,,,,,,,1,FALSE
历史记录导出请求应答,Historical Record Export Request Response,否,,,,,,,,,,,是,,,0xF5,,0,6,,,struct,impl,history_response_cmd：0x10,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting,struct,,,,,,,,,1,FALSE
历史记录导出个数,Historical Record Export Count,否,,,,,,,,,,,是,,,0xF5,,0,2,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting.quantity_of_data,int,,,,,,,,,1,FALSE
历史记录导出长度,Historical Record Export Length,否,,,,,,,,,,,是,,,0xF5,,2,4,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting.length,int,,,,,,,,,1,FALSE
历史记录导出传输最大长度,Historical Record Export Maximum Transmission Length,否,,,,,,,,,,,是,,,0xF5,,4,6,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting.max_length,int,,,,,,,,,1,FALSE
历史记录导出数据应答,Historical Record Export Data Response,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,impl,history_response_cmd：0x11,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.exported_data,struct,,,,,,,,,1,FALSE
历史记录导出数据长度,Historical Record Export Data Length,否,,,,,,,,,,,是,,,0xF5,,0,2,,,uint16,length,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.exported_data.length,int,,,,,,,,,1,FALSE
历史记录导出数据,Historical Record Export Data,否,,,,,,,,,,,是,,,0xF5,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.exported_data.data,array,,,65535,,,,,,1,FALSE
历史记录导出结束应答,Historical Record Export End Response,否,,,,,,,,,,,是,,,0xF5,,0,1,,,struct,impl,history_response_cmd：0x12,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.end_exporting,struct,,,,,,,,,1,FALSE
历史记录导出结束应答,Historical Record Export End Response,否,,,,,,,,,,,是,,,0xF5,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.end_exporting.result,enum,,,,,,,,,1,FALSE
历史记录导出全部数据应答,Historical Record Export All Data Response,否,,,,,,,,,,,是,,,0xF5,,0,0,,,struct,impl,history_response_cmd：0x13,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.exported_all_data,struct,,,,,,,,,1,FALSE
历史记录导出请求应答,Historical Record Export Request Response,否,,,,,,,,,,,是,,,0xF5,,0,6,,,struct,impl,history_response_cmd：0x14,,,,,,,,,,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting_with_type,struct,,,,,,,,,1,FALSE
历史记录导出个数,Historical Record Export Count,否,,,,,,,,,,,是,,,0xF5,,0,2,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting_with_type.quantity_of_data,int,,,,,,,,,1,FALSE
历史记录导出长度,Historical Record Export Length,否,,,,,,,,,,,是,,,0xF5,,2,4,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting_with_type.length,int,,,,,,,,,1,FALSE
历史记录导出传输最大长度,Historical Record Export MaxiTransmission Length,否,,,,,,,,,,,是,,,0xF5,,4,6,,,uint16,,,,,,,,1,,1,65535,,,,,,,,参数,只读,,,,,historical_data_export_reply.start_exporting_with_type.max_length,int,,,,,,,,,1,FALSE
全检请求,Full Inspection Request,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,,,,,,,,,,,,,,,,,,,服务,只写,,异步,,,request_full_inspection,struct,,,,,,,,,1,FALSE
全检请求子命令,Full Inspection Request Subcommand,否,,,,,,,,,,,是,,,0xF4,,0,1,,,uint8,type,check_request_cmd,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.command,enum,,,,,,,,,1,FALSE
全检开始,Full Inspection Start,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,impl,check_request_cmd：0x00,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.start_inspection,struct,,,,,,,,,1,FALSE
全检控制,Full Inspection Control,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,impl,check_request_cmd：0x01,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.control,struct,,,,,,,,,1,FALSE
控制命令长度,Control Command Length,否,,,,,,,,,,,是,,,0xF4,,0,2,,,uint16,length,,,,,,,0,,0,65535,,,,,,,,参数,只写,,,,,request_full_inspection.control.length,int,,,,,,,,,1,FALSE
控制命令内容,Control Command Content,否,,,,,,,,,,,是,,,0xF4,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.control.data,array,,,65535,,,,,,1,FALSE
全检读取,Full Inspection Read,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,impl,check_request_cmd：0x02,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.reading,struct,,,,,,,,,1,FALSE
读取参数长度,Read Parameter Length,否,,,,,,,,,,,是,,,0xF4,,0,2,,,uint16,length,,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.reading.length,int,,,,,,,,,1,FALSE
读取参数内容,Read Parameter Content,否,,,,,,,,,,,是,,,0xF4,,0,0,,,array,,,,,int,,,0,,0,65535,,,,,,,,参数,只写,,,,,request_full_inspection.reading.data,array,,,65535,,,,,,1,FALSE
全检结束,Full Inspection End,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,impl,check_request_cmd：0x03,,,,,,,,,,,,,,,,,参数,只写,,,,,request_full_inspection.end_inspection,struct,,,,,,,,,1,FALSE
全检应答,Full Inspection Response,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,error,,,,full_inspection_reply,struct,,,,,,,,,1,FALSE
全检应答子命令,Full Inspection Response Subcommand,否,,,,,,,,,,,是,,,0xF4,,0,1,,,uint8,type,check_response_cmd,,,,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.command,enum,,,,,,,,,1,FALSE
全检开始应答,Full Inspection Start Response,否,,,,,,,,,,,是,,,0xF4,,0,1,,,struct,impl,check_response_cmd：0x00,,,,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.start_inspection,struct,,,,,,,,,1,FALSE
全检开始应答,Full Inspection Start Response ,否,,,,,,,,,,,是,,,0xF4,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.start_inspection.result,enum,,,,,,,,,1,FALSE
全检控制应答,Full Inspection Control Response,否,,,,,,,,,,,是,,,0xF4,,0,1,,,struct,impl,check_response_cmd：0x01,,,,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.control,struct,,,,,,,,,1,FALSE
全检控制应答,Full Inspection Control Response ,否,,,,,,,,,,,是,,,0xF4,,0,1,,,uint8,,,,,,"0：成功
1：失败","0：success
1：failed",0,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.control.result,enum,,,,,,,,,1,FALSE
全检读取应答,Full Inspection Read Response,否,,,,,,,,,,,是,,,0xF4,,0,0,,,struct,impl,check_response_cmd：0x02,,,,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.reading,struct,,,,,,,,,1,FALSE
全检读取应答长度,Read Response Length,否,,,,,,,,,,,是,,,0xF4,,0,2,,,uint16,length,,,,,,,0,,0,65535,,,,,,,,参数,只读,,,,,full_inspection_reply.reading.length,int, ,,,,,,,,1,FALSE
全检读取应答内容,Read Response Content,否,,,,,,,,,,,是,,,0xF4,,0,0,,,array,,,,,int,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.reading.data,array,,,65535,,,,,,1,FALSE
全检结束应答,Full Inspection End Response,否,,,,,,,,,,,是,,,0xF4,,0,1,,,struct,impl,check_response_cmd：0x03,,,,,,,,,,,,,,,,,参数,只读,,,,,full_inspection_reply.end_inspection,struct,,,,,,,,,1,FALSE
